optimization level;key range max;algorithm iterations;tab size;bucket sort time;counting sort time;quick sort time;
0;100;100;100;0.001037;0.000432;0.001190;
1;100;100;100;0.000817;0.000202;0.000903;
2;100;100;100;0.000774;0.000199;0.000906;
3;100;100;100;0.000776;0.000193;0.000911;
0;100;100;1000;0.008613;0.002382;0.011954;
1;100;100;1000;0.007298;0.000786;0.008535;
2;100;100;1000;0.007061;0.000804;0.008556;
3;100;100;1000;0.007010;0.000787;0.008529;
0;100;100;10000;0.083505;0.021631;0.113008;
1;100;100;10000;0.070779;0.006376;0.077722;
2;100;100;10000;0.068159;0.006039;0.077621;
3;100;100;10000;0.068446;0.006071;0.077530;
0;100;100;100000;0.832075;0.217193;1.100728;
1;100;100;100000;0.703687;0.058656;0.762954;
2;100;100;100000;0.679473;0.057564;0.756572;
3;100;100;100000;0.680986;0.056834;0.757116;
0;1000;100;100;0.001825;0.001506;0.001266;
1;1000;100;100;0.001123;0.000779;0.000960;
2;1000;100;100;0.001095;0.000819;0.000976;
3;1000;100;100;0.001082;0.000807;0.000972;
0;1000;100;1000;0.010044;0.003981;0.017273;
1;1000;100;1000;0.008041;0.001311;0.012623;
2;1000;100;1000;0.007795;0.001292;0.012556;
3;1000;100;1000;0.007832;0.001275;0.012575;
0;1000;100;10000;0.085017;0.027694;0.175930;
1;1000;100;10000;0.070388;0.007201;0.125194;
2;1000;100;10000;0.067940;0.007268;0.124611;
3;1000;100;10000;0.068315;0.007256;0.124710;
0;1000;100;100000;0.831764;0.266489;1.672319;
1;1000;100;100000;0.692291;0.076363;1.161405;
2;1000;100;100000;0.667721;0.076413;1.154138;
3;1000;100;100000;0.670546;0.076397;1.153837;
0;10000;100;100;0.007979;0.011680;0.001310;
1;10000;100;100;0.004900;0.006333;0.001013;
2;10000;100;100;0.004626;0.006421;0.000999;
3;10000;100;100;0.004625;0.006286;0.000986;
0;10000;100;1000;0.017978;0.014484;0.018486;
1;10000;100;1000;0.012734;0.007315;0.013306;
2;10000;100;1000;0.012484;0.007379;0.013443;
3;10000;100;1000;0.012570;0.007415;0.013406;
0;10000;100;10000;0.104489;0.039779;0.231141;
1;10000;100;10000;0.083308;0.015379;0.165016;
2;10000;100;10000;0.082687;0.015268;0.164780;
3;10000;100;10000;0.083017;0.015349;0.165077;
0;10000;100;100000;0.893702;0.291694;2.324609;
1;10000;100;100000;0.732740;0.108323;1.634790;
2;10000;100;100000;0.739267;0.108723;1.628609;
3;10000;100;100000;0.740237;0.108670;1.629556;
0;65000;100;100;0.026452;0.039589;0.001310;
1;65000;100;100;0.014587;0.021819;0.000986;
2;65000;100;100;0.013551;0.021661;0.001006;
3;65000;100;100;0.013416;0.021806;0.001009;
0;65000;100;1000;0.036421;0.042609;0.018589;
1;65000;100;1000;0.022370;0.023165;0.013379;
2;65000;100;1000;0.021937;0.023194;0.013430;
3;65000;100;1000;0.021588;0.023321;0.013427;
0;65000;100;10000;0.132419;0.067395;0.239180;
1;65000;100;10000;0.098528;0.032531;0.171152;
2;65000;100;10000;0.098231;0.032576;0.170963;
3;65000;100;10000;0.098195;0.032412;0.170893;
0;65000;100;100000;0.957646;0.320473;2.681002;
1;65000;100;100000;0.786989;0.136633;1.905380;
2;65000;100;100000;0.796622;0.136242;1.895666;
3;65000;100;100000;0.798842;0.136126;1.894958;
